P,C,system:index,City,Province,Region,i,t,Year,V_i
912999,912999,000100000000000021c7,Name Unknown,Tianjin Shi,Eastern,2,1,2014,0.7509
553302,3221112,000100000000000021b3,Hangzhou,Zhejiang Sheng,Eastern,44,1,2014,-0.403
553302,3149738,000100000000000021b7,Huzhou,Zhejiang Sheng,Eastern,48,1,2014,-0.403
553302,3308626,000100000000000021b6,Jiaxing,Zhejiang Sheng,Eastern,47,1,2014,-0.403
553302,3411720,000100000000000021b9,Jinhua,Zhejiang Sheng,Eastern,50,1,2014,-0.403
553302,3289209,000100000000000021bd,Lishui,Zhejiang Sheng,Eastern,54,1,2014,-0.403
553302,3478607,000100000000000021b4,Ningbo,Zhejiang Sheng,Eastern,45,1,2014,-0.403
553302,3278467,000100000000000021ba,Quzhou,Zhejiang Sheng,Eastern,51,1,2014,-0.403
553302,3316522,000100000000000021b8,Shaoxing,Zhejiang Sheng,Eastern,49,1,2014,-0.403
553302,3477550,000100000000000021bc,Taizhou,Zhejiang Sheng,Eastern,53,1,2014,-0.403
553302,3289341,000100000000000021b5,Wenzhou,Zhejiang Sheng,Eastern,46,1,2014,-0.403
553302,3308121,000100000000000021bb,Zhoushan,Zhejiang Sheng,Eastern,52,1,2014,-0.403
